"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 04 17:32:50 BRT 2022","Sun Dec 04 17:32:51 BRT 2022","802","","Vaga - Cenários Positivos","","","","GET - Listar vagas cadastradas por idVaga",""
"passed","Sun Dec 04 17:32:55 BRT 2022","Sun Dec 04 17:32:56 BRT 2022","143","","Contratos - Cenários Positivos","","","","Usuario - Validar contrato Usuario",""
"passed","Sun Dec 04 17:32:57 BRT 2022","Sun Dec 04 17:32:57 BRT 2022","116","","Contratos - Cenários Positivos","","","","Aluno - Validar contrato Alunos por nome",""
"passed","Sun Dec 04 17:32:46 BRT 2022","Sun Dec 04 17:32:46 BRT 2022","135","","Usuario - Cenários Positivos","","","","GET - Listar todos usuarios cadastrados",""
"passed","Sun Dec 04 17:32:18 BRT 2022","Sun Dec 04 17:32:18 BRT 2022","137","","Aluno - Cenários Positivos","","","","GET - Listar todos alunos cadastrados",""
"passed","Sun Dec 04 17:32:14 BRT 2022","Sun Dec 04 17:32:14 BRT 2022","172","","Aluno - Cenários Negativos","","","","POST - Tentar Adicionar um aluno na aplicação sem nome",""
"passed","Sun Dec 04 17:32:55 BRT 2022","Sun Dec 04 17:32:55 BRT 2022","167","","Contratos - Cenários Positivos","","","","Vaga - Validar contrato Vaga",""
"passed","Sun Dec 04 17:32:18 BRT 2022","Sun Dec 04 17:32:20 BRT 2022","1175","","Aluno - Cenários Positivos","","","","DELETE - Remover um aluno através do id",""
"passed","Sun Dec 04 17:32:56 BRT 2022","Sun Dec 04 17:32:56 BRT 2022","115","","Contratos - Cenários Positivos","","","","Avaliacao - Validar contrato Avaliacao por IdAvaliação",""
"passed","Sun Dec 04 17:32:43 BRT 2022","Sun Dec 04 17:32:43 BRT 2022","406","","Programa - Cenários Positivos","","","","PUT - Editar programa",""
"passed","Sun Dec 04 17:32:20 BRT 2022","Sun Dec 04 17:32:23 BRT 2022","2906","","Aluno - Cenários Positivos","","","","POST - Adicionar um aluno na aplicação",""
"passed","Sun Dec 04 17:32:32 BRT 2022","Sun Dec 04 17:32:33 BRT 2022","1161","","Avaliacao - Cenários Positivos","","","","POST - Adicionar um avaliacao na aplicação",""
"passed","Sun Dec 04 17:32:56 BRT 2022","Sun Dec 04 17:32:57 BRT 2022","125","","Contratos - Cenários Positivos","","","","Aluno - Validar contrato Aluno",""
"passed","Sun Dec 04 17:32:26 BRT 2022","Sun Dec 04 17:32:27 BRT 2022","231","","Avaliacao - Cenários Negativos","","","","POST - Tenta Adicionar um avaliacao na aplicação com idVaga inexistente",""
"passed","Sun Dec 04 17:32:30 BRT 2022","Sun Dec 04 17:32:31 BRT 2022","1360","","Avaliacao - Cenários Positivos","","","","PUT - Editar avaliacao",""
"passed","Sun Dec 04 17:32:43 BRT 2022","Sun Dec 04 17:32:43 BRT 2022","109","","Programa - Cenários Positivos","","","","GET - Listar todos programas cadastrados",""
"passed","Sun Dec 04 17:32:26 BRT 2022","Sun Dec 04 17:32:26 BRT 2022","191","","Avaliacao - Cenários Negativos","","","","DELETE - Tentar Remover um avaliacao através do idAvaliacao inexistente",""
"passed","Sun Dec 04 17:32:41 BRT 2022","Sun Dec 04 17:32:41 BRT 2022","105","","Programa - Cenários Negativos","","","","DELETE - Tentar Remover um programa através do idPrograma Inexistente",""
"passed","Sun Dec 04 17:32:26 BRT 2022","Sun Dec 04 17:32:26 BRT 2022","134","","Avaliacao - Cenários Negativos","","","","PUT - Tentar Editar avaliacao com idVaga inexistente",""
"passed","Sun Dec 04 17:32:45 BRT 2022","Sun Dec 04 17:32:46 BRT 2022","592","","Usuario - Cenários Positivos","","","","PUT - Editar usuario",""
"passed","Sun Dec 04 17:32:43 BRT 2022","Sun Dec 04 17:32:44 BRT 2022","215","","Programa - Cenários Positivos","","","","DELETE - Remover um programa através do id",""
"passed","Sun Dec 04 17:32:56 BRT 2022","Sun Dec 04 17:32:56 BRT 2022","122","","Contratos - Cenários Positivos","","","","Avaliacao - Validar contrato Avaliacao",""
"passed","Sun Dec 04 17:32:56 BRT 2022","Sun Dec 04 17:32:56 BRT 2022","126","","Contratos - Cenários Positivos","","","","Usuario - Validar contrato Usuario por Email",""
"passed","Sun Dec 04 17:32:13 BRT 2022","Sun Dec 04 17:32:13 BRT 2022","110","","Aluno - Cenários Negativos","","","","DELETE - Tentar Remover um aluno através do id inexistente",""
"passed","Sun Dec 04 17:32:50 BRT 2022","Sun Dec 04 17:32:50 BRT 2022","112","","Vaga - Cenários Positivos","","","","GET - Listar todos vagas cadastrados",""
"passed","Sun Dec 04 17:32:36 BRT 2022","Sun Dec 04 17:32:36 BRT 2022","108","","Cliente - Cenários Negativos","","","","PUT - Tentar Editar cliente sem email",""
"passed","Sun Dec 04 17:32:36 BRT 2022","Sun Dec 04 17:32:36 BRT 2022","102","","Cliente - Cenários Negativos","","","","POST - Tentar Adicionar um cliente na aplicação sem email",""
"passed","Sun Dec 04 17:32:31 BRT 2022","Sun Dec 04 17:32:32 BRT 2022","1160","","Avaliacao - Cenários Positivos","","","","DELETE - Remover um avaliacao através do id",""
"passed","Sun Dec 04 17:32:46 BRT 2022","Sun Dec 04 17:32:46 BRT 2022","318","","Usuario - Cenários Positivos","","","","DELETE - Remover um usuario através do id",""
"passed","Sun Dec 04 17:32:36 BRT 2022","Sun Dec 04 17:32:36 BRT 2022","103","","Cliente - Cenários Negativos","","","","DELETE - Tentar Remover um cliente através do id inexistente",""
"passed","Sun Dec 04 17:32:56 BRT 2022","Sun Dec 04 17:32:56 BRT 2022","132","","Contratos - Cenários Positivos","","","","Programa - Validar contrato Programa",""
"passed","Sun Dec 04 17:32:51 BRT 2022","Sun Dec 04 17:32:52 BRT 2022","628","","Vaga - Cenários Positivos","","","","DELETE - Remover um vaga através do id",""
"passed","Sun Dec 04 17:32:56 BRT 2022","Sun Dec 04 17:32:56 BRT 2022","186","","Contratos - Cenários Positivos","","","","Cliente - Validar contrato Cliente",""
"passed","Sun Dec 04 17:32:55 BRT 2022","Sun Dec 04 17:32:55 BRT 2022","109","","Contratos - Cenários Positivos","","","","Vaga - Validar contrato Vaga por idVaga",""
"passed","Sun Dec 04 17:32:57 BRT 2022","Sun Dec 04 17:32:57 BRT 2022","111","","Contratos - Cenários Positivos","","","","Aluno - Validar contrato Alunos por email",""
"passed","Sun Dec 04 17:32:31 BRT 2022","Sun Dec 04 17:32:31 BRT 2022","120","","Avaliacao - Cenários Positivos","","","","GET - Listar todos avaliacaos cadastrados",""
"passed","Sun Dec 04 17:32:57 BRT 2022","Sun Dec 04 17:32:57 BRT 2022","113","","Contratos - Cenários Positivos","","","","Tecnologia - Validar contrato Tecnologia",""
"passed","Sun Dec 04 17:32:13 BRT 2022","Sun Dec 04 17:32:13 BRT 2022","120","","Aluno - Cenários Negativos","","","","PUT - Tentar Editar aluno por id inexistente",""
