"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 05 04:42:43 BRT 2022","Mon Dec 05 04:42:43 BRT 2022","354","","Login","","","","Validar tentar fazer login com email e senha em branco.",""
"passed","Mon Dec 05 04:44:05 BRT 2022","Mon Dec 05 04:44:15 BRT 2022","10277","","Usuarios","","","","Validar Administrador cadastrar usuario do tipo Gestão de Pessoas com sucesso.",""
"passed","Mon Dec 05 04:40:51 BRT 2022","Mon Dec 05 04:41:06 BRT 2022","15061","","Alunos","","","","Validar Editar um aluno com sucesso.",""
"passed","Mon Dec 05 04:44:25 BRT 2022","Mon Dec 05 04:44:35 BRT 2022","10109","","Usuarios","","","","Validar Administrador editar nome de usuario com sucesso.",""
"passed","Mon Dec 05 04:42:41 BRT 2022","Mon Dec 05 04:42:43 BRT 2022","2075","","Login","","","","Validar tentar fazer login com senha inválida.",""
"passed","Mon Dec 05 04:43:40 BRT 2022","Mon Dec 05 04:43:41 BRT 2022","1293","","Usuarios","","","","Validar redirecionamento para página de cadastrar usuario com sucesso.",""
"passed","Mon Dec 05 04:44:35 BRT 2022","Mon Dec 05 04:44:46 BRT 2022","10646","","Usuarios","","","","Validar Administrador editar Tipo de usuario com sucesso.",""
"passed","Mon Dec 05 04:43:55 BRT 2022","Mon Dec 05 04:44:05 BRT 2022","10270","","Usuarios","","","","Validar Administrador cadastrar usuario do tipo Instrutor com sucesso.",""
"passed","Mon Dec 05 04:42:38 BRT 2022","Mon Dec 05 04:42:41 BRT 2022","2244","","Login","","","","Validar fazer login com sucesso.",""
"passed","Mon Dec 05 04:44:15 BRT 2022","Mon Dec 05 04:44:25 BRT 2022","10014","","Usuarios","","","","Validar Administrador cadastrar usuario do tipo Gestor com sucesso.",""
"passed","Mon Dec 05 04:45:13 BRT 2022","Mon Dec 05 04:45:18 BRT 2022","5754","","Vaga","","","","Validar Administrador cadastrar vaga com sucesso.",""
"passed","Mon Dec 05 04:40:39 BRT 2022","Mon Dec 05 04:40:51 BRT 2022","12169","","Alunos","","","","Validar cadastrar aluno com sucesso.",""
"passed","Mon Dec 05 04:43:15 BRT 2022","Mon Dec 05 04:43:18 BRT 2022","2359","","Programas","","","","Validar Administrador tentar cadastrar programa com dados em branco.",""
"passed","Mon Dec 05 04:42:14 BRT 2022","Mon Dec 05 04:42:16 BRT 2022","2310","","Clientes","","","","Validar Administrador tentar cadastrar cliente com dados em branco.",""
"passed","Mon Dec 05 04:43:03 BRT 2022","Mon Dec 05 04:43:15 BRT 2022","12129","","Programas","","","","Validar Administrador cadastrar programa com sucesso.",""
"passed","Mon Dec 05 04:41:29 BRT 2022","Mon Dec 05 04:41:36 BRT 2022","7443","","Apresentacao","","","","Validar reservar aluno em uma vaga com sucesso.",""
"passed","Mon Dec 05 04:43:44 BRT 2022","Mon Dec 05 04:43:55 BRT 2022","10173","","Usuarios","","","","Validar Administrador cadastrar usuario do tipo Administrador com sucesso.",""
"passed","Mon Dec 05 04:45:18 BRT 2022","Mon Dec 05 04:45:20 BRT 2022","1830","","Vaga","","","","Validar buscar vaga com sucesso.",""
"passed","Mon Dec 05 04:41:58 BRT 2022","Mon Dec 05 04:42:14 BRT 2022","16315","","Clientes","","","","Validar Administrador cadastrar cliente com sucesso.",""
"passed","Mon Dec 05 04:43:41 BRT 2022","Mon Dec 05 04:43:44 BRT 2022","3070","","Usuarios","","","","Validar cadastrar usuario com sucesso.",""
